epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3971.47,0.3574,0.18685,0.93155,0.3548,0.12062,0.14595,0.11091,1.90377,4.65671,1.75561,0.0002972,0.0002972,0.0002972
88,4016.61,0.35939,0.18457,0.93168,0.47101,0.14008,0.16981,0.1282,1.80147,4.36502,1.67515,0.0002774,0.0002774,0.0002774
89,4061.49,0.35933,0.18521,0.92832,0.49793,0.15953,0.19125,0.14376,1.72852,4.13051,1.62046,0.0002576,0.0002576,0.0002576
90,4107.37,0.35649,0.18452,0.93021,0.54431,0.15803,0.21395,0.15895,1.74978,4.12608,1.66027,0.0002378,0.0002378,0.0002378
91,4182.94,0.26143,0.13983,0.86086,0.57375,0.17121,0.20554,0.1564,1.68859,3.64142,1.52837,0.000218,0.000218,0.000218
92,4227.99,0.25661,0.13496,0.86176,0.51338,0.16732,0.20388,0.15516,1.69707,3.57951,1.52385,0.0001982,0.0001982,0.0001982
93,4274.61,0.2565,0.13325,0.85839,0.51531,0.15721,0.19133,0.14571,1.72911,3.79801,1.55606,0.0001784,0.0001784,0.0001784
94,4319.48,0.25109,0.12875,0.85892,0.44243,0.14397,0.1852,0.13944,1.76676,4.14089,1.57197,0.0001586,0.0001586,0.0001586
95,4365.38,0.25007,0.12886,0.85574,0.44154,0.14008,0.18893,0.14217,1.79028,4.28114,1.59422,0.0001388,0.0001388,0.0001388
96,4410.03,0.24759,0.12641,0.85758,0.44687,0.1284,0.18028,0.1397,1.79492,4.29282,1.59859,0.000119,0.000119,0.000119
97,4455.03,0.24433,0.12499,0.85312,0.47368,0.1323,0.19079,0.14901,1.77158,4.21572,1.57845,9.92e-05,9.92e-05,9.92e-05
98,4500.26,0.24427,0.12284,0.85502,0.48303,0.13619,0.19881,0.15516,1.75982,4.11046,1.5606,7.94e-05,7.94e-05,7.94e-05
99,4545.96,0.24119,0.12082,0.84769,0.50081,0.14008,0.20044,0.15739,1.7417,4.07815,1.55072,5.96e-05,5.96e-05,5.96e-05
100,4591.09,0.24106,0.12075,0.85073,0.50589,0.14397,0.20193,0.15955,1.7313,4.09699,1.54306,3.98e-05,3.98e-05,3.98e-05
